window_size,lam,seed,sharpe,cumret,meanret,stdret
1,0.0001,2.0,4.5009999999999994,1.4402000000000001,0.0032,0.012
1,0.0005,2.0,4.89,1.4686,0.0034000000000000002,0.0118
1,0.001,2.0,4.3962,1.432,0.0032,0.012
1,0.005,2.0,3.9772000000000007,1.3298,0.0026000000000000003,0.01
1,0.01,2.0,1.7318000000000002,1.093,0.001,0.007000000000000001
1,0.05,2.0,1.7284,1.0926,0.001,0.007000000000000001
2,0.0001,2.0,3.2338,1.3212,0.0024000000000000002,0.0116
2,0.0005,2.0,3.2258000000000004,1.3321999999999998,0.0021999999999999997,0.0126
2,0.001,2.0,2.9474,1.2902,0.0021999999999999997,0.012
2,0.005,2.0,1.6582000000000001,1.0977999999999999,0.001,0.0076
2,0.01,2.0,1.7248,1.0924,0.001,0.007000000000000001
2,0.05,2.0,1.7234000000000003,1.0922,0.001,0.007000000000000001
3,0.0001,2.0,1.145,1.142,0.001,0.015
3,0.0005,2.0,1.1454,1.142,0.001,0.015
3,0.001,2.0,1.2498,1.1320000000000001,0.001,0.0134
3,0.005,2.0,1.7254,1.0928,0.001,0.007000000000000001
3,0.01,2.0,1.7262,1.0928,0.001,0.007000000000000001
3,0.05,2.0,1.7260000000000002,1.0926,0.001,0.007000000000000001
4,0.0001,2.0,1.145,1.142,0.001,0.015
4,0.0005,2.0,1.1452,1.142,0.001,0.015
4,0.001,2.0,1.5396,1.1094000000000002,0.001,0.0092
4,0.005,2.0,1.7254,1.0926,0.001,0.007000000000000001
4,0.01,2.0,1.7246000000000001,1.0924,0.001,0.007000000000000001
4,0.05,2.0,1.7251999999999998,1.0922,0.001,0.007000000000000001
5,0.0001,2.0,1.145,1.142,0.001,0.015
5,0.0005,2.0,1.145,1.142,0.001,0.015
5,0.001,2.0,1.608,1.1044,0.001,0.0086
5,0.005,2.0,1.7254,1.0924,0.001,0.007000000000000001
5,0.01,2.0,1.725,1.0924,0.001,0.007000000000000001
5,0.05,2.0,1.7236,1.0922,0.001,0.007000000000000001
6,0.0001,2.0,1.3656000000000001,1.125,0.001,0.012
6,0.0005,2.0,1.7332,1.0944,0.001,0.007000000000000001
6,0.001,2.0,1.7332,1.094,0.001,0.007000000000000001
6,0.005,2.0,1.7286000000000001,1.0928,0.001,0.007000000000000001
6,0.01,2.0,1.7286000000000001,1.0928,0.001,0.007000000000000001
6,0.05,2.0,1.7286000000000001,1.0928,0.001,0.007000000000000001
