seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
2,1,1.0,64,0.005,1.706,1.091,0.001,0.007
0,1,1.0,64,0.005,5.888,1.54,0.004,0.011
3,1,1.0,64,0.005,1.694,1.142,0.001,0.01
0,1,1.0,64,0.001,1.864,1.145,0.001,0.01
1,1,1.0,64,0.001,5.317,1.534,0.004,0.012
2,1,1.0,64,0.0005,2.656,1.202,0.002,0.009
1,1,1.0,64,0.005,5.287,1.5,0.004,0.012
1,1,1.0,64,0.0005,3.098,1.309,0.002,0.012
2,1,1.0,64,0.001,2.867,1.264,0.002,0.011
0,1,1.0,64,0.0005,1.693,1.162,0.001,0.012
3,1,1.0,64,0.001,0.245,1.015,0.0,0.008
3,1,1.0,64,0.0005,2.698,1.204,0.002,0.009
