lam,window_size,networksize,learnrate,seed,sharpe,cumret,meanret,stdret
0.001,1.0,74.66666666666667,0.002768333333333333,4.5,1.6321944444444445,1.0905277777777778,0.000977777777777778,0.006927777777777778
0.01,1.0,74.66666666666667,0.002768333333333333,4.5,1.6592055555555556,1.0922555555555555,0.0009944444444444445,0.00695
0.1,1.0,74.66666666666667,0.002768333333333333,4.5,1.6627,1.0927,0.0009944444444444445,0.006911111111111112
0.5,1.0,74.66666666666667,0.002768333333333333,4.5,1.6421611111111112,1.0906277777777778,0.0009722222222222223,0.006866666666666668
1.0,1.0,74.66666666666667,0.002768333333333333,4.5,1.6149222222222221,1.0919277777777778,0.0009722222222222223,0.007077777777777778
2.0,1.0,74.66666666666667,0.002768333333333333,4.5,1.5893000000000002,1.0919777777777777,0.0009444444444444445,0.007255555555555555
5.0,1.0,74.66666666666667,0.002768333333333333,4.5,1.51945,1.0935055555555555,0.0009333333333333333,0.007822222222222223
10.0,1.0,74.66666666666667,0.002768333333333333,4.5,1.4539,1.094561111111111,0.0008777777777777779,0.008283333333333334
20.0,1.0,74.66666666666667,0.002768333333333333,4.5,1.3770499999999999,1.092411111111111,0.0008555555555555556,0.008594444444444444
40.0,1.0,74.66666666666667,0.002768333333333333,4.5,1.2671444444444444,1.0860666666666665,0.0007666666666666667,0.008794444444444445
